loan_id,customer_id,loan_purpose,loan_type,loan_amount,interest_rate,tenure_months,emi_amount,disbursement_date,maturity_date,repayment_frequency,loan_status,num_payments_made,outstanding_balance,collateral_value,num_late_payments,penalty_charges,loan_officer_id,branch_code,insurance_taken
LOAN001982,CUST07374,Vehicle,Secured,473040.72,13.79,60,10955.4,2023-09-25,2028-08-29,Monthly,Active,67,278811.1,404739.59,9,43774.39,LO197,BR32,False
LOAN001983,CUST00642,Personal,Unsecured,394618.27,6.61,240,2967.78,2018-10-26,2038-07-13,Monthly,Closed,86,55704.74,320235.01,1,5578.27,LO171,BR44,False
LOAN001984,CUST03523,Education,Secured,275064.4,19.15,60,7158.04,2018-05-01,2023-04-05,Monthly,Defaulted,224,76849.31,362955.63,19,6825.43,LO150,BR19,True
LOAN001985,CUST06042,Wedding,Secured,663100.79,21.4,240,11997.76,2022-06-12,2042-02-27,Monthly,Active,63,553131.83,1092384.05,14,23071.14,LO121,BR11,False
LOAN001986,CUST06301,Home,Secured,695662.75,8.41,240,5997.56,2020-10-01,2040-06-18,Bi-Annual,Active,194,443688.3,936664.0,0,40866.54,LO173,BR49,True
LOAN001987,CUST01396,Home,Secured,435824.83,9.48,36,13956.68,2023-08-03,2026-07-18,Monthly,Active,96,305590.34,382821.64,5,34890.23,LO183,BR15,False
LOAN001988,CUST07474,Personal,Secured,184121.83,7.62,24,8295.46,2018-01-19,2020-01-09,Monthly,Active,78,18961.51,40162.46,4,25360.7,LO110,BR11,False
LOAN001989,CUST01348,Personal,Secured,1311221.34,7.72,60,26411.48,2022-12-05,2027-11-09,Monthly,Active,120,366365.29,559308.09,9,47042.41,LO168,BR10,False
LOAN001990,CUST06479,Home,Unsecured,170252.96,15.01,36,5902.71,2019-11-20,2022-11-04,Monthly,Active,59,19268.98,302362.44,18,35709.24,LO160,BR25,False
LOAN001991,CUST05271,Business,Unsecured,290173.41,9.04,240,2618.23,2018-10-16,2038-07-03,Quarterly,Closed,98,162018.46,416451.11,13,42878.15,LO181,BR37,False
LOAN001992,CUST03180,Wedding,Secured,605054.8,9.93,60,12834.8,2024-04-21,2029-03-26,Monthly,Closed,172,97690.34,562974.64,11,12220.31,LO174,BR37,False
LOAN001993,CUST05608,Education,Secured,178468.82,13.5,60,4106.54,2022-03-05,2027-02-07,Monthly,Active,218,4945.33,342233.26,14,37333.37,LO125,BR39,True
LOAN001994,CUST07807,Vehicle,Secured,250010.22,13.95,84,4678.29,2018-05-30,2025-04-23,Quarterly,Active,104,134590.1,151957.64,4,12189.25,LO184,BR30,True
LOAN001995,CUST05721,Education,Secured,56622.95,10.96,48,1462.35,2024-04-16,2028-03-26,Quarterly,Closed,143,39027.75,63893.24,10,39139.41,LO194,BR44,False
LOAN001996,CUST05168,Personal,Secured,428749.21,21.71,12,40068.7,2019-06-08,2020-06-02,Monthly,Active,0,144666.96,430967.11,4,25185.93,LO182,BR12,True
LOAN001997,CUST04367,Business,Unsecured,838245.72,8.26,36,26368.23,2019-07-15,2022-06-29,Monthly,Active,49,829605.34,684373.85,16,48844.02,LO187,BR50,True
LOAN001998,CUST02554,Personal,Secured,394381.3,9.47,48,9902.45,2022-05-30,2026-05-09,Monthly,Closed,11,147492.89,259886.23,9,1353.76,LO159,BR44,False
LOAN001999,CUST03053,Medical,Unsecured,235789.7,13.15,36,7961.73,2018-09-23,2021-09-07,Bi-Annual,Defaulted,145,168123.21,69880.57,17,23102.26,LO143,BR21,False
LOAN002000,CUST01083,Personal,Unsecured,406580.84,11.0,180,4621.19,2022-06-25,2037-04-07,Monthly,Active,168,201072.26,375358.61,6,48672.21,LO177,BR40,True
LOAN002001,CUST07116,Wedding,Secured,905848.32,19.41,120,17153.15,2020-10-13,2030-08-22,Monthly,Closed,36,694481.04,22614.71,11,44920.84,LO198,BR24,True
LOAN002002,CUST03920,Personal,Unsecured,332384.75,9.24,48,8309.34,2021-06-10,2025-05-20,Monthly,Active,49,301783.69,249982.21,6,11959.52,LO131,BR24,False
LOAN002003,CUST00410,Business,Secured,933697.81,17.57,36,33554.35,2018-07-08,2021-06-22,Monthly,Active,212,764722.22,1277790.03,6,35220.24,LO180,BR41,True
LOAN002004,CUST08520,Education,Secured,343023.09,8.45,60,7029.38,2021-11-08,2026-10-13,Quarterly,Active,150,240184.12,682353.14,13,45174.89,LO158,BR39,False
LOAN002005,CUST01179,Education,Unsecured,243341.5,10.65,120,3304.0,2021-02-28,2031-01-07,Quarterly,Closed,124,170225.88,425903.12,13,41745.03,LO181,BR48,False
LOAN002006,CUST07387,Personal,Unsecured,508404.5,,60,12901.84,2022-05-16,2027-04-20,Bi-Annual,Active,98,321359.04,,,,LO116,BR49,True
LOAN002007,CUST03699,Education,Secured,406643.84,7.88,180,3857.98,2021-03-16,2035-12-28,Quarterly,Closed,183,294472.59,132032.78,17,42430.94,LO161,BR38,False
LOAN002008,CUST09854,Home,Secured,219798.41,20.57,12,20420.93,2023-09-10,2024-09-04,Quarterly,Defaulted,109,207605.93,203303.26,11,43012.66,LO145,BR50,False
LOAN002009,CUST07083,Education,Secured,515640.6,11.48,36,16998.86,2021-08-31,2024-08-15,Bi-Annual,Active,75,197150.39,228804.43,7,12703.02,LO112,BR49,False
LOAN002010,CUST03497,Personal,Unsecured,294721.9,11.68,12,26141.58,2018-03-25,2019-03-20,Monthly,Active,105,78955.78,242566.34,16,44176.08,LO127,BR23,True
LOAN002011,CUST03773,Vehicle,Unsecured,387658.8,10.13,240,3774.44,2019-04-04,2038-12-20,Monthly,Active,194,34302.7,774670.93,3,46724.51,LO109,BR14,True
LOAN002012,CUST00749,Personal,Unsecured,110190.62,20.01,24,5608.78,2023-05-04,2025-04-23,Monthly,Active,67,93944.35,191558.1,13,8055.01,LO199,BR32,False
LOAN002013,CUST06432,Home,Secured,439893.81,16.42,60,10795.78,2021-11-23,2026-10-28,Monthly,Closed,101,61954.11,545695.53,15,16892.11,LO199,BR43,True
LOAN002014,CUST05342,Home,Secured,504955.4,7.18,36,15633.15,2019-11-30,2022-11-14,Monthly,Defaulted,2,104748.19,477678.88,3,3309.66,LO141,BR49,False
LOAN002015,CUST00251,Medical,Secured,492734.99,20.69,120,9748.88,2021-06-21,2031-04-30,Quarterly,Closed,59,461125.6,469529.96,4,33015.74,LO166,BR22,False
LOAN002016,CUST05309,Business,Secured,440164.59,20.94,36,16569.67,2018-09-08,2021-08-23,Monthly,Defaulted,60,394574.82,829526.18,12,9870.99,LO194,BR35,False
LOAN002017,CUST04241,Education,Unsecured,334826.39,15.03,60,7970.77,2018-02-02,2023-01-07,Monthly,Closed,181,324606.51,112498.92,17,7579.61,LO148,BR30,True
LOAN002018,CUST03721,Personal,Secured,85066.08,11.38,24,3979.77,2018-10-23,2020-10-12,Quarterly,Closed,141,22995.08,13099.43,9,25565.29,LO118,BR40,True
LOAN002019,CUST06585,Vehicle,Unsecured,392975.85,8.99,24,17951.2,2023-02-04,2025-01-24,Monthly,Under Review,65,211059.94,331211.38,7,38070.47,LO102,BR28,True
LOAN002020,CUST04978,Vehicle,Secured,395799.73,10.55,240,3964.89,2022-02-08,2041-10-26,Bi-Annual,Closed,216,129970.56,359897.63,17,24758.42,LO160,BR43,True
LOAN002021,CUST03360,Personal,Secured,331976.91,20.08,36,12350.99,2022-01-23,2025-01-07,Quarterly,Under Review,213,264515.87,606524.88,3,41756.14,LO109,BR31,False
LOAN002022,CUST03026,Personal,Unsecured,95703.64,9.7,120,1248.89,2018-04-11,2028-02-18,Quarterly,Closed,220,28068.17,183320.16,12,11443.05,LO126,BR42,True
LOAN002023,CUST05765,Personal,Unsecured,245259.97,8.81,240,2176.79,2021-04-14,2040-12-30,Quarterly,Active,64,240642.02,114832.48,11,21430.65,LO167,BR35,False
LOAN002024,CUST05415,Personal,Unsecured,194687.52,11.57,48,5085.86,2020-09-02,2024-08-12,Monthly,Active,103,35883.17,82099.73,5,47173.84,LO173,BR43,False
LOAN002025,CUST08847,Personal,Unsecured,200451.24,11.17,24,9358.43,2021-08-26,2023-08-16,Monthly,Active,214,196916.57,221731.93,3,2096.44,LO132,BR31,False
LOAN002026,CUST04533,Personal,Unsecured,119782.08,17.97,36,4328.61,2023-01-17,2026-01-01,Quarterly,Active,168,51221.6,235319.75,10,16025.09,LO160,BR44,True
LOAN002027,CUST09147,Business,Secured,768322.9,12.45,180,9444.76,2024-02-24,2038-12-07,Monthly,Active,96,160203.62,1193053.51,7,33703.43,LO185,BR40,True
LOAN002028,CUST04995,Education,Secured,353656.16,9.65,12,31034.46,2019-04-17,2020-04-11,Monthly,Defaulted,40,169750.03,42371.65,10,8148.02,LO159,BR24,True
LOAN002029,CUST00057,Personal,Unsecured,495305.65,8.73,120,6202.18,2021-03-27,2031-02-03,Monthly,Closed,228,445647.94,823509.91,1,49828.89,LO185,BR21,False
LOAN002030,CUST05939,Vehicle,Unsecured,273441.67,14.18,180,3674.66,2019-01-19,2033-11-01,Monthly,Defaulted,22,159204.9,473468.51,5,47130.8,LO170,BR33,False
LOAN002031,CUST08954,Personal,Secured,288646.33,21.19,12,26903.28,2019-09-12,2020-09-06,Bi-Annual,Active,124,122126.46,189606.86,6,21995.71,LO143,BR40,False
LOAN002032,CUST07947,Education,Secured,126891.13,12.93,240,1480.3,2023-04-17,2043-01-02,Monthly,Closed,75,28860.01,81547.76,1,19891.99,LO138,BR28,False
LOAN002033,CUST08601,Home,Unsecured,231731.82,7.07,12,20058.48,2023-06-12,2024-06-06,Quarterly,Defaulted,46,101832.09,245524.02,8,32494.4,LO181,BR29,False
LOAN002034,CUST06033,Vehicle,Secured,335967.7,10.74,48,8640.9,2018-04-08,2022-03-18,Monthly,Active,114,117590.84,609424.54,18,24687.05,LO181,BR24,True
LOAN002035,CUST01975,Business,Unsecured,147050.73,11.59,36,4855.44,2018-11-07,2021-10-22,Monthly,Active,30,61442.66,49917.42,19,45519.64,LO106,BR24,False
LOAN002036,CUST00926,Home,Unsecured,522042.52,16.1,120,8777.46,2022-01-17,2031-11-26,Quarterly,Active,102,134832.44,608747.21,7,23925.68,LO156,BR44,False
LOAN002037,CUST07178,Business,Secured,532822.56,19.95,36,19788.02,2020-09-08,2023-08-24,Monthly,Active,25,356332.8,522182.87,12,16619.31,LO174,BR39,False
LOAN002038,CUST03996,Medical,Secured,355700.05,21.44,84,8210.03,2020-03-03,2027-01-26,Quarterly,Closed,147,288783.93,234199.59,13,23442.89,LO133,BR19,False
LOAN002039,CUST04803,Medical,Secured,72012.24,10.14,120,957.24,2023-11-04,2033-09-12,Bi-Annual,Closed,12,2775.09,91019.62,14,26443.19,LO144,BR22,True
LOAN002040,CUST07378,Wedding,Secured,467517.65,19.73,180,8117.89,2023-07-21,2038-05-03,Monthly,Active,127,263980.07,342024.98,15,12366.9,LO131,BR26,False
LOAN002041,CUST05610,Personal,Secured,522894.94,7.97,180,4988.0,2019-07-08,2034-04-20,Monthly,Active,157,247738.0,110870.28,7,14204.69,LO178,BR16,False
LOAN002042,CUST01152,Wedding,Secured,68376.76,15.24,24,3323.16,2024-01-17,2026-01-06,Quarterly,Closed,123,9932.83,118764.55,9,29680.2,LO127,BR26,False
LOAN002043,CUST05882,Personal,Secured,548842.1,11.86,24,25800.04,2020-09-04,2022-08-25,Monthly,Active,162,127792.72,240757.97,15,18449.52,LO135,BR19,False
LOAN002044,CUST09553,Vehicle,Unsecured,281875.32,8.39,180,2757.59,2019-11-21,2034-09-03,Monthly,Active,96,93321.2,347066.34,19,2439.99,LO110,BR47,False
LOAN002045,CUST02345,Vehicle,Secured,499806.09,9.52,240,4665.38,2019-05-25,2039-02-09,Monthly,Closed,100,266658.83,982783.64,15,23888.57,LO113,BR23,True
LOAN002046,CUST08253,Business,Secured,3030649.22,10.66,60,65380.94,2019-09-24,2024-08-28,Monthly,Closed,174,509169.84,1529253.43,15,42248.06,LO123,BR46,False
LOAN002047,CUST02076,Business,Unsecured,114639.43,17.62,36,4122.67,2020-09-13,2023-08-29,Monthly,Defaulted,188,102243.73,111418.54,17,20709.69,LO127,BR49,False
LOAN002048,CUST02452,Personal,Secured,238414.88,21.85,120,4903.63,2023-08-20,2033-06-28,Bi-Annual,Active,74,100991.54,317861.44,8,27329.44,LO152,BR16,True
LOAN002049,CUST06182,Business,Unsecured,354927.63,7.0,36,10959.13,2019-05-22,2022-05-06,Monthly,Under Review,223,292265.27,653010.39,7,43251.57,LO138,BR15,False
LOAN002050,CUST06285,Education,Secured,142634.16,18.89,48,4256.5,2018-11-26,2022-11-05,Quarterly,Active,224,66321.2,249049.29,0,7618.46,LO152,BR46,True
LOAN002051,CUST06176,Personal,Secured,1507465.33,14.43,84,28609.21,2024-03-16,2031-02-08,Quarterly,Active,222,1447200.95,2965411.14,18,27454.8,LO188,BR36,False
LOAN002052,CUST03735,Home,Unsecured,57598.53,8.3,240,492.59,2023-07-02,2043-03-19,Monthly,Active,35,48157.29,67157.3,13,42235.42,LO123,BR42,False
LOAN002053,CUST09271,Personal,Unsecured,758615.12,10.1,240,7371.13,2021-02-12,2040-10-30,Monthly,Under Review,80,686861.91,55571.41,9,2181.73,LO182,BR36,True
LOAN002054,CUST00608,Personal,Secured,171026.74,13.1,120,2563.71,2018-07-05,2028-05-13,Quarterly,Active,86,45510.05,46037.87,1,18804.28,LO169,BR21,False
LOAN002055,CUST05716,Home,Secured,214052.28,17.73,240,3259.08,2018-08-15,2038-05-02,Quarterly,Closed,13,174662.33,390389.31,3,29900.71,LO141,BR17,False
LOAN002056,CUST02571,Education,Secured,496524.94,10.23,12,43705.56,2023-07-24,2024-07-18,Monthly,Active,178,337275.38,483490.29,5,6629.65,LO106,BR16,False
LOAN002057,CUST06001,Business,Unsecured,540796.5,16.41,240,7690.7,2020-10-29,2040-07-16,Bi-Annual,Active,107,282270.48,344448.31,17,11877.22,LO148,BR25,False
LOAN002058,CUST02969,Personal,Unsecured,673943.95,10.74,24,31329.78,2020-07-04,2022-06-24,Quarterly,Active,124,357208.28,969813.64,14,18264.54,LO173,BR41,True
LOAN002059,CUST01133,Travel,Secured,438402.02,19.28,240,7200.71,2019-08-11,2039-04-28,Monthly,Active,153,210636.91,839358.44,16,13666.05,LO151,BR33,True
LOAN002060,CUST02084,Personal,Unsecured,347809.15,11.24,120,4838.44,2022-05-03,2032-03-11,Bi-Annual,Active,162,131364.46,501174.85,19,21646.06,LO158,BR48,True
LOAN002061,CUST00238,Personal,Secured,105819.86,19.25,240,1735.61,2019-11-05,2039-07-23,Quarterly,Active,181,90697.77,57991.88,9,28598.25,LO188,BR37,False
LOAN002062,CUST09901,Business,Secured,397335.81,11.49,12,35208.08,2024-01-07,2025-01-01,Monthly,Active,200,63156.33,136998.7,2,43481.11,LO119,BR28,True
LOAN002063,CUST04916,Home,Secured,102313.91,15.0,60,2434.04,2020-10-31,2025-10-05,Monthly,Closed,65,98154.45,111549.17,4,41283.47,LO192,BR42,False
LOAN002064,CUST08867,Travel,Unsecured,735820.65,18.76,36,26883.05,2020-05-18,2023-05-03,Monthly,Closed,206,292314.2,229051.6,7,48502.33,LO100,BR44,False
LOAN002065,CUST08217,Personal,Secured,247480.73,7.99,84,3856.05,2019-11-16,2026-10-10,Bi-Annual,Active,95,102680.79,432044.37,9,41693.43,LO150,BR38,False
LOAN002066,CUST00642,Business,Unsecured,326728.31,9.09,120,4154.79,2020-07-05,2030-05-14,Monthly,Closed,202,198312.08,136153.56,15,48411.75,LO197,BR21,True
LOAN002067,CUST01458,Business,Unsecured,240356.36,21.33,84,5531.54,2023-06-16,2030-05-10,Monthly,Active,192,46041.35,329357.17,0,41102.05,LO134,BR12,False
LOAN002068,CUST08731,Education,Secured,153634.64,9.31,120,1972.05,2022-04-24,2032-03-02,Monthly,Active,57,13393.73,19121.24,16,49665.78,LO158,BR34,False
LOAN002069,CUST05042,Wedding,Secured,777371.36,20.41,84,17454.89,2018-06-19,2025-05-13,Monthly,Closed,200,715103.02,218987.15,7,17765.92,LO139,BR41,False
LOAN002070,CUST02596,Home,Unsecured,201113.17,14.47,60,4728.7,2020-05-22,2025-04-26,Monthly,Under Review,126,160123.31,270897.55,8,47216.08,LO100,BR48,True
LOAN002071,CUST08986,Travel,Secured,96514.95,8.18,12,8403.72,2021-08-01,2022-07-27,Quarterly,Under Review,30,14018.23,132866.7,2,10853.25,LO191,BR39,False
LOAN002072,CUST09633,Home,Secured,96710.84,13.89,84,1806.49,2022-03-25,2029-02-16,Monthly,Closed,80,66977.0,173705.87,6,29385.21,LO143,BR20,True
LOAN002073,CUST00900,Education,Unsecured,143952.27,15.19,36,5003.56,2023-04-26,2026-04-10,Monthly,Under Review,201,127061.89,285430.98,8,41880.8,LO147,BR22,True
LOAN002074,CUST01730,Travel,Secured,61062.58,8.89,24,2786.55,2019-07-22,2021-07-11,Monthly,Closed,219,56162.83,89381.37,3,38876.67,LO190,BR45,False
LOAN002075,CUST04809,Education,Secured,334304.01,18.35,36,12144.67,2021-02-17,2024-02-02,Monthly,Active,122,272461.5,127093.89,12,38398.42,LO102,BR28,False
LOAN002076,CUST05186,Home,Secured,286910.23,8.31,12,24999.01,2021-01-25,2022-01-20,Monthly,Under Review,231,150809.95,270924.85,2,16762.8,LO128,BR19,True
LOAN002077,CUST08376,Business,Unsecured,40748.5,8.1,60,828.18,2019-08-20,2024-07-24,Monthly,Closed,222,9278.74,4158.12,7,44263.41,LO160,BR42,False
LOAN002078,CUST05630,Education,Secured,433934.59,15.39,12,39246.11,2021-03-16,2022-03-11,Monthly,Active,131,91584.5,557887.46,1,21148.09,LO140,BR15,False
LOAN002079,CUST00266,Personal,Unsecured,177885.03,19.42,60,4655.64,2023-05-26,2028-04-29,Monthly,Closed,152,92532.73,216019.14,18,28464.47,LO101,BR42,False
LOAN002080,CUST02472,Personal,Secured,184597.87,16.03,60,4492.0,2019-12-07,2024-11-10,Monthly,Active,142,93632.91,49680.54,19,12929.57,LO115,BR21,True
LOAN002081,CUST03656,Vehicle,Unsecured,66533.06,7.22,120,780.07,2019-07-21,2029-05-29,Quarterly,Closed,65,25009.84,117681.24,1,8521.53,LO194,BR35,True
LOAN002082,CUST03385,Business,Unsecured,864115.67,13.28,240,10296.62,2019-10-07,2039-06-24,Monthly,Closed,234,34586.82,171198.78,8,43296.53,LO152,BR47,False
LOAN002083,CUST07985,Education,Secured,364716.51,17.69,60,9200.01,2022-10-02,2027-09-06,Quarterly,Closed,60,240927.4,58261.95,19,42935.76,LO100,BR33,False
LOAN002084,CUST03778,Travel,Secured,283320.65,10.59,12,24986.2,2021-03-19,2022-03-14,Monthly,Defaulted,238,109057.81,142645.57,16,11676.03,LO141,BR28,False
LOAN002085,CUST02909,Education,Secured,103180.61,17.3,240,1537.04,2023-05-16,2043-01-31,Bi-Annual,Active,6,47845.53,197898.32,14,3097.42,LO146,BR47,False
LOAN002086,CUST04040,Business,Secured,330819.78,12.61,120,4863.69,2019-09-04,2029-07-13,Monthly,Defaulted,114,324593.1,624679.91,8,8949.14,LO162,BR11,False
LOAN002087,CUST06128,Business,Unsecured,617664.81,21.47,24,31881.88,2023-08-17,2025-08-06,Quarterly,Under Review,134,363512.34,180226.84,19,30715.84,LO195,BR13,False
LOAN002088,CUST01688,Personal,Unsecured,413965.91,14.0,84,7757.73,2020-10-10,2027-09-04,Monthly,Active,51,354943.88,332806.58,19,14308.91,LO105,BR14,False
LOAN002089,CUST00480,Wedding,Secured,128764.47,19.67,120,2460.34,2020-09-30,2030-08-09,Monthly,Closed,17,58724.41,128056.18,0,17444.8,LO135,BR11,False
LOAN002090,CUST05931,Personal,Secured,670411.93,11.9,120,9579.75,2020-06-17,2030-04-26,Monthly,Active,231,630932.81,880428.52,1,9165.07,LO161,BR24,True
LOAN002091,CUST06085,Medical,Secured,276642.47,17.97,12,25358.63,2021-06-02,2022-05-28,Quarterly,Active,79,23757.86,305438.73,0,33771.48,LO165,BR43,True
LOAN002092,CUST02157,Home,Unsecured,729029.83,11.56,48,19041.03,2020-08-24,2024-08-03,Monthly,Active,86,362886.45,658915.71,10,44894.17,LO157,BR10,True
LOAN002093,CUST04224,Personal,Secured,47809.07,10.91,84,816.35,2019-10-12,2026-09-05,Monthly,Closed,183,4417.09,32475.17,6,38758.06,LO185,BR16,True
LOAN002094,CUST02949,Education,Unsecured,48112.94,9.22,60,1003.89,2022-04-01,2027-03-06,Monthly,Closed,51,40891.86,93155.09,16,10205.72,LO108,BR21,True
LOAN002095,CUST07015,Medical,Unsecured,176429.2,16.43,84,3547.59,2018-06-30,2025-05-24,Quarterly,Active,128,125020.19,42436.33,10,30492.29,LO116,BR16,True
LOAN002096,CUST00681,Personal,Secured,203023.65,13.92,180,2692.85,2020-06-07,2035-03-21,Monthly,Closed,98,12825.48,168521.49,15,34224.24,LO129,BR46,False
LOAN002097,CUST08145,Personal,Unsecured,549254.17,,36,18266.72,2020-01-09,2022-12-24,Monthly,Defaulted,115,465618.66,,,,LO161,BR18,True
LOAN002098,CUST03022,Vehicle,Unsecured,528815.45,7.36,24,23762.83,2019-07-12,2021-07-01,Monthly,Active,4,217665.69,551960.65,7,42548.29,LO193,BR26,False
LOAN002099,CUST04701,Personal,Unsecured,990085.81,16.72,84,20073.31,2019-09-07,2026-08-01,Monthly,Active,54,78458.26,1467893.36,13,32347.11,LO195,BR50,True
LOAN002100,CUST04293,Personal,Unsecured,260678.66,17.13,120,4552.03,2022-12-30,2032-11-07,Quarterly,Defaulted,147,74287.76,296835.92,5,45235.99,LO122,BR28,False
LOAN002101,CUST02912,Education,Unsecured,281672.96,11.46,240,2996.08,2021-09-14,2041-06-01,Monthly,Active,24,250769.25,88989.02,13,46173.65,LO171,BR35,True
LOAN002102,CUST00155,Business,Unsecured,182013.52,16.72,180,2765.16,2022-03-18,2036-12-29,Monthly,Closed,127,161621.77,129295.41,15,8157.1,LO160,BR23,True
LOAN002103,CUST06753,Wedding,Unsecured,456356.79,20.14,240,7802.88,2019-02-15,2038-11-02,Monthly,Defaulted,87,21563.08,258097.58,1,33920.55,LO190,BR22,False
LOAN002104,CUST08909,Education,Secured,362997.56,11.89,84,6386.56,2023-08-06,2030-06-30,Monthly,Active,218,135690.72,456929.37,13,14362.77,LO130,BR13,True
LOAN002105,CUST09330,Vehicle,Unsecured,195040.47,,48,5694.72,2021-12-20,2025-11-29,Monthly,Defaulted,206,125120.86,,,,LO146,BR20,False
LOAN002106,CUST03579,Medical,Secured,307863.02,19.61,240,5135.97,2023-12-02,2043-08-19,Monthly,Closed,202,270270.72,264391.21,17,31843.47,LO162,BR46,False
LOAN002107,CUST05079,Wedding,Unsecured,111592.13,13.28,12,9981.77,2020-05-27,2021-05-22,Monthly,Active,97,91106.38,136403.94,6,24244.69,LO151,BR38,False
LOAN002108,CUST01256,Personal,Unsecured,88962.81,8.89,24,4059.75,2021-06-04,2023-05-25,Monthly,Active,94,44760.04,155499.91,12,43894.69,LO166,BR24,True
LOAN002109,CUST04068,Home,Secured,397902.16,7.11,24,17834.95,2021-01-19,2023-01-09,Monthly,Closed,69,67438.81,560286.49,9,29567.39,LO145,BR46,True
LOAN002110,CUST05680,Personal,Unsecured,287352.09,17.97,180,4621.38,2018-10-21,2033-08-03,Monthly,Active,182,36167.14,551793.71,6,6361.32,LO155,BR47,True
LOAN002111,CUST02852,Vehicle,Secured,146770.89,14.6,60,3460.93,2023-02-13,2028-01-18,Monthly,Closed,208,30611.51,231094.6,5,25087.79,LO132,BR31,False
LOAN002112,CUST03118,Personal,Unsecured,517587.21,9.23,12,45318.99,2020-06-15,2021-06-10,Monthly,Defaulted,201,189646.72,764928.93,15,23664.15,LO119,BR47,True
LOAN002113,CUST04415,Education,Unsecured,111030.57,6.68,240,839.62,2018-04-14,2037-12-30,Monthly,Closed,234,24437.28,192800.53,19,35519.14,LO179,BR46,False
LOAN002114,CUST07506,Education,Unsecured,326402.44,13.11,120,4894.74,2023-09-09,2033-07-18,Monthly,Under Review,207,202920.08,472050.98,10,24053.14,LO152,BR50,False
LOAN002115,CUST08407,Business,Unsecured,374672.1,13.16,240,4432.34,2018-12-09,2038-08-26,Monthly,Active,239,326215.23,675928.76,16,45557.69,LO144,BR19,False
LOAN002116,CUST05611,Wedding,Secured,626344.58,21.58,36,23784.51,2023-10-13,2026-09-27,Monthly,Active,235,312963.8,174652.68,17,40858.15,LO127,BR41,False
LOAN002117,CUST09150,Vehicle,Unsecured,336020.2,8.67,24,15300.17,2018-12-08,2020-11-27,Bi-Annual,Active,183,143125.62,590006.31,10,6342.88,LO196,BR29,True
LOAN002118,CUST02930,Personal,Unsecured,375239.81,9.39,84,6111.8,2024-06-10,2031-05-05,Monthly,Active,43,15003.49,92383.2,16,20818.01,LO179,BR12,False
LOAN002119,CUST00787,Education,Unsecured,2307935.49,21.28,12,215210.85,2019-08-11,2020-08-05,Bi-Annual,Closed,68,1947787.73,3379160.35,6,13079.05,LO174,BR22,True
LOAN002120,CUST09428,Home,Unsecured,546919.78,7.94,84,8508.07,2021-03-29,2028-02-21,Monthly,Active,149,527793.18,787428.97,19,37134.81,LO183,BR24,False
LOAN002121,CUST03485,Education,Secured,156299.6,19.16,84,3392.2,2019-08-06,2026-06-30,Monthly,Active,232,130219.06,243667.62,19,31669.82,LO175,BR48,True
LOAN002122,CUST05437,Home,Unsecured,276030.77,19.35,48,8304.42,2021-02-20,2025-01-30,Monthly,Closed,58,265578.12,64280.1,1,6951.53,LO107,BR20,False
LOAN002123,CUST02171,Education,Unsecured,558701.2,9.91,24,25758.02,2019-03-25,2021-03-14,Monthly,Closed,233,490674.23,968820.47,17,12745.35,LO179,BR14,False
LOAN002124,CUST00283,Home,Unsecured,171256.71,12.11,36,5697.18,2019-11-30,2022-11-14,Monthly,Active,143,36868.65,17772.08,9,37630.11,LO140,BR24,False
LOAN002125,CUST08210,Home,Secured,476924.63,20.63,60,12803.35,2022-11-27,2027-11-01,Monthly,Closed,70,315437.11,134405.87,8,34478.37,LO136,BR19,False
LOAN002126,CUST05878,Home,Secured,62280.43,16.38,48,1777.19,2020-07-16,2024-06-25,Monthly,Active,54,33199.03,91645.83,18,42077.55,LO160,BR43,True
LOAN002127,CUST02569,Travel,Unsecured,369037.5,19.53,60,9680.98,2021-12-30,2026-12-04,Bi-Annual,Active,23,71743.93,726855.14,4,19380.07,LO110,BR23,False
LOAN002128,CUST04953,Education,Unsecured,249716.8,19.22,120,4697.49,2023-07-10,2033-05-18,Bi-Annual,Closed,18,210047.79,149094.38,16,39676.48,LO163,BR48,False
LOAN002129,CUST01384,Personal,Secured,190455.57,14.5,36,6555.67,2022-02-26,2025-02-10,Monthly,Active,76,165796.2,363571.37,12,28358.21,LO188,BR12,False
LOAN002130,CUST05723,Education,Unsecured,99937.97,7.49,48,2415.92,2019-10-22,2023-10-01,Monthly,Under Review,162,21543.67,122638.3,17,18678.67,LO156,BR36,False
LOAN002131,CUST08465,Vehicle,Secured,523044.14,14.86,60,12404.78,2019-07-17,2024-06-20,Monthly,Defaulted,1,284932.37,217419.21,12,20529.37,LO132,BR44,True
LOAN002132,CUST04933,Home,Secured,453002.71,6.93,24,20267.73,2023-10-02,2025-09-21,Bi-Annual,Active,147,21732.82,849584.35,16,19327.51,LO193,BR26,True
LOAN002133,CUST09975,Personal,Secured,231206.15,11.57,24,10837.31,2023-09-13,2025-09-02,Monthly,Closed,161,50420.41,454364.01,1,38824.11,LO112,BR12,True
LOAN002134,CUST05405,Education,Unsecured,216895.63,8.48,120,2686.88,2020-07-22,2030-05-31,Monthly,Under Review,224,105317.4,287447.64,0,30561.59,LO154,BR13,True
LOAN002135,CUST03618,Personal,Secured,268350.83,13.02,48,7201.84,2019-09-03,2023-08-13,Monthly,Defaulted,6,255957.3,394895.16,3,43200.01,LO167,BR30,False
